Store,Date,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Weekly_Revenue,Predicted_Revenue,Profit_Gap,,,,
1,05/02/2010,0,42.31,2.572,211.0963582,8.106,1643690.9,1611968.17,31722.73,,Store,(All),
1,12/02/2010,1,38.51,2.548,211.2421698,8.106,1641957.44,1641957.44,0,,,,
1,19/02/2010,0,39.93,2.514,211.2891429,8.106,1611968.17,1611968.17,0,,Row Labels,Average Weekly Revenue,Average Fuel Price
1,26/02/2010,0,46.63,2.561,211.3196429,8.106,1409727.59,1409727.59,0,,Qtr1,1006136.182,3.267786532
1,05/03/2010,0,46.5,2.625,211.3501429,8.106,1554806.68,1554806.68,0,,Qtr2,1040806.407,3.500090028
1,12/03/2010,0,57.79,2.667,211.3806429,8.106,1439541.59,1439541.59,0,,Qtr3,1023251.314,3.383124444
1,19/03/2010,0,54.58,2.72,211.215635,8.106,1472515.79,1472515.79,0,,Qtr4,1128773.583,3.245655914
1,26/03/2010,0,51.45,2.732,211.0180424,8.106,1404429.92,1404429.92,0,,,,
1,02/04/2010,0,62.27,2.719,210.8204499,7.808,1594968.28,1594968.28,0,,,,
1,09/04/2010,0,65.86,2.77,210.6228574,7.808,1545418.53,1545418.53,0,,,,
1,16/04/2010,0,66.32,2.808,210.4887,7.808,1466058.28,1466058.28,0,,,,
1,23/04/2010,0,64.84,2.795,210.4391228,7.808,1391256.12,1391256.12,0,,,,
1,30/04/2010,0,67.41,2.78,210.3895456,7.808,1425100.71,1466058.28,-40957.57,,,,
1,07/05/2010,0,72.55,2.835,210.3399684,7.808,1603955.12,1494251.5,109703.62,,,,
1,14/05/2010,0,74.78,2.854,210.3374261,7.808,1494251.5,1494251.5,0,,,,
1,21/05/2010,0,76.44,2.826,210.6170934,7.808,1399662.07,1399662.07,0,,,,
1,28/05/2010,0,80.44,2.759,210.8967606,7.808,1432069.95,1432069.95,0,,,,
1,04/06/2010,0,80.69,2.705,211.1764278,7.808,1615524.71,1615524.71,0,,,,
1,11/06/2010,0,80.43,2.668,211.4560951,7.808,1542561.09,1542561.09,0,,,,
1,18/06/2010,0,84.11,2.637,211.4537719,7.808,1503284.06,1503284.06,0,,,,
1,25/06/2010,0,84.34,2.653,211.3386526,7.808,1422711.6,1422711.6,0,,,,
1,02/07/2010,0,80.91,2.669,211.2235333,7.787,1492418.14,1546074.18,-53656.04,,,,
1,09/07/2010,0,80.48,2.642,211.108414,7.787,1546074.18,1546074.18,0,,,,
